Happiness Rank,Happiness Score,Country,Region,Upper Confidence Interval,Lower Confidence Interval,Freedom,Generosity,Trust (Government Corruption),Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Dystopia Residual,Year,Standard Error
1,7.808700085,Finland,Western Europe,7.869766235,7.747633934,0.949172199,-0.059482019,0.195444584,1.285189509,1.499525905,0.961271405,2.762835026,2020,0.031156305
2,7.645599842,Denmark,Western Europe,7.711244583,7.579955101,0.951444268,0.066201776,0.168489456,1.326948524,1.503449202,0.979332566,2.432740688,2020,0.033492286
3,7.559899807,Switzerland,Western Europe,7.628527641,7.491271973,0.921336651,0.105911039,0.303728431,1.39077425,1.472403407,1.040533185,2.35026741,2020,0.035014171
4,7.504499912,Iceland,Western Europe,7.621346951,7.387652874,0.948891878,0.246944219,0.711709738,1.326501608,1.547567487,1.000843406,2.460688114,2020,0.059615862
5,7.487999916,Norway,Western Europe,7.55628109,7.419718742,0.955750287,0.13453263,0.263218194,1.42420733,1.495172501,1.008071899,2.168266296,2020,0.034837384
6,7.448900223,Netherlands,Western Europe,7.503372192,7.394428253,0.908547819,0.20761244,0.364717126,1.338946342,1.463645935,0.975675344,2.352117062,2020,0.02779175
7,7.353499889,Sweden,Western Europe,7.424519062,7.282480717,0.939144194,0.111614622,0.250880182,1.322235227,1.433347702,0.986470461,2.246299267,2020,0.036234196
8,7.299600124,New Zealand,North America and ANZ,7.376952648,7.222247601,0.936217487,0.191598073,0.22113885,1.242317915,1.48721838,1.008138299,2.128108025,2020,0.039465468
9,7.294199944,Austria,Western Europe,7.359595776,7.228804111,0.899989486,0.085429221,0.499954879,1.317285538,1.437444925,1.000933528,2.398446083,2020,0.033365164
10,7.237500191,Luxembourg,Western Europe,7.297969818,7.177030563,0.90563643,-0.004620588,0.367084295,1.536676049,1.387528419,0.986442685,2.153700352,2020,0.030851794
11,7.23210001,Canada,North America and ANZ,7.311294556,7.152905464,0.933913231,0.124770768,0.390843362,1.301647663,1.435391903,1.022501945,2.195269108,2020,0.04040546
12,7.222799778,Australia,North America and ANZ,7.30480814,7.140791416,0.915431738,0.19046016,0.41516912,1.310396433,1.477146268,1.022607684,2.129804134,2020,0.041841116
13,7.164500237,United Kingdom,Western Europe,7.237337589,7.091662884,0.834743679,0.263732493,0.435915917,1.273061037,1.457844973,0.97570008,2.236721992,2020,0.037161909
14,7.128600121,Israel,Middle East and North Africa,7.211929798,7.045270443,0.747580588,0.10259372,0.78085506,1.216463685,1.403256774,1.008052945,2.713358402,2020,0.042515181
15,7.121399879,Costa Rica,Latin America and Caribbean,7.209239483,7.033560276,0.934738934,-0.10242971,0.786332428,0.981107712,1.374853611,0.939635336,2.953135014,2020,0.044816118
16,7.093699932,Ireland,Western Europe,7.171832085,7.01556778,0.886982977,0.145784974,0.357184172,1.446886778,1.470596433,0.975670695,1.943878174,2020,0.039863452
17,7.075799942,Germany,Western Europe,7.145595074,7.00600481,0.867371082,0.080179386,0.456422031,1.314184546,1.368543744,0.972114801,2.295249462,2020,0.035609804
18,6.939599991,United States,North America and ANZ,7.032339573,6.846860409,0.842619538,0.149891734,0.699715316,1.37398684,1.404786706,0.831618011,2.344124794,2020,0.047316168
19,6.910900116,Czech Republic,Central and Eastern Europe,6.994966984,6.826833248,0.818537354,-0.230861515,0.85844624,1.212322354,1.40528667,0.89456445,2.796808243,2020,0.042891297
20,6.863500118,Belgium,Western Europe,6.930866241,6.796133995,0.813582063,-0.078691199,0.612297952,1.295842767,1.398677588,0.964901149,2.348626614,2020,0.034370355
21,6.790800095,United Arab Emirates,Middle East and North Africa,6.870568752,6.711031437,0.941345513,0.123450845,0.594502211,1.431086421,1.251170993,0.787814438,2.166965961,2020,0.040698379
22,6.772799969,Malta,Western Europe,6.856997967,6.688601971,0.924911439,0.214965805,0.658547282,1.252513289,1.442956924,0.972042024,1.952012062,2020,0.042958103
23,6.663799763,France,Western Europe,6.737450123,6.590149403,0.825467646,-0.130641967,0.583521128,1.268129349,1.458839178,1.029714227,2.053198338,2020,0.037576791
24,6.465000153,Mexico,Latin America and Caribbean,6.559319973,6.370680332,0.858709276,-0.175266623,0.806821585,1.024387479,1.226333499,0.831601024,2.662540197,2020,0.048122469
25,6.45539999,Taiwan Province of China,East Asia,6.532113552,6.378686428,0.77153033,-0.073198698,0.73188293,1.327470541,1.357760668,0.878437996,2.160238743,2020,0.039139576
26,6.440100193,Uruguay,Latin America and Caribbean,6.529121399,6.351078987,0.892395437,-0.101103112,0.635994136,1.071000457,1.425081134,0.856928885,2.167276382,2020,0.045419082
27,6.406499863,Saudi Arabia,Middle East and North Africa,6.517305851,6.295693874,0.854191244,-0.168695062,0.682619512,1.334328532,1.309950113,0.759818137,2.203118801,2020,0.056533612
28,6.400899887,Spain,Western Europe,6.483808517,6.317991257,0.751989543,-0.050961714,0.765859902,1.230535269,1.421099186,1.051343083,1.997088432,2020,0.04230037
29,6.398900032,Guatemala,Latin America and Caribbean,6.5133605,6.284439564,0.908147573,-0.042938665,0.783237457,0.753815711,1.174267054,0.705952585,2.882723093,2020,0.058398303
30,6.38740015,Italy,Western Europe,6.47224474,6.302555561,0.66465199,-0.043460999,0.873404682,1.236396074,1.347296,1.022504926,2.249505997,2020,0.043288074
31,6.377099991,Singapore,Southeast Asia,6.442287445,6.311912537,0.926645339,0.029879224,0.109784193,1.519580126,1.39545691,1.137814283,0.937031746,2020,0.033258967
32,6.375599861,Brazil,Latin America and Caribbean,6.455549717,6.295650005,0.799804807,-0.101812392,0.770601273,0.952679873,1.363464117,0.766119063,2.571860313,2020,0.040790688
33,6.363399982,Slovenia,Central and Eastern Europe,6.449328899,6.277471066,0.936142623,-0.080603383,0.817071021,1.208652496,1.464677691,0.932548046,1.888586521,2020,0.043841314
34,6.34829998,El Salvador,Latin America and Caribbean,6.462466717,6.234133244,0.833805263,-0.121072978,0.754319906,0.748940408,1.149397612,0.752730012,2.937191725,2020,0.058248438
35,6.325200081,Kosovo,Central and Eastern Europe,6.427544117,6.222856045,0.861535907,0.190933764,0.922328293,0.840481341,1.183962822,0.672709167,2.736902714,2020,0.052216277
36,6.304800034,Panama,Latin America and Caribbean,6.421860695,6.187739372,0.880366504,-0.153927714,0.851588905,1.097667813,1.376149297,0.878546536,2.221176147,2020,0.059724931
37,6.280600071,Slovakia,Central and Eastern Europe,6.35683918,6.204360962,0.749952674,-0.124409303,0.918096125,1.194837689,1.424331188,0.853465259,2.256422043,2020,0.03889757
38,6.257599831,Uzbekistan,Commonwealth of Independent States,6.36388588,6.151313782,0.974998116,0.248427153,0.501497388,0.696652949,1.434020042,0.716703713,2.073346615,2020,0.05422755
39,6.228499889,Chile,Latin America and Caribbean,6.318118572,6.138881207,0.744896293,-0.065668367,0.838239431,1.096992493,1.323286891,0.889260828,2.283012867,2020,0.045723889
40,6.227300167,Bahrain,Middle East and North Africa,6.387789249,6.066811085,0.905855775,0.13372919,0.7393471,1.296692252,1.31532371,0.838836372,1.751917362,2020,0.081882261
41,6.215499878,Lithuania,Central and Eastern Europe,6.302118301,6.128881454,0.747381449,-0.219725296,0.809583843,1.193559647,1.432865739,0.795421183,2.238146067,2020,0.044193108
42,6.191899776,Trinidad and Tobago,Latin America and Caribbean,6.416218758,5.967580795,0.857907116,0.000526841,0.912230611,1.167641521,1.407326221,0.658828557,2.190695763,2020,0.114448458
43,6.186299801,Poland,Central and Eastern Europe,6.255880356,6.116719246,0.862055779,-0.205084071,0.686927021,1.16922915,1.310399771,0.868038476,2.056797981,2020,0.035500165
44,6.163400173,Colombia,Latin America and Caribbean,6.274102688,6.052697659,0.836179912,-0.161235645,0.86457181,0.93220371,1.33445096,0.810020149,2.421656609,2020,0.056480873
45,6.15899992,Cyprus,Western Europe,6.258187771,6.059812069,0.779858291,0.043731496,0.856271744,1.21279943,1.149170756,1.026124597,2.032334805,2020,0.050605938
46,6.13710022,Nicaragua,Latin America and Caribbean,6.262318611,6.011881828,0.863902867,0.020959141,0.665950119,0.620033145,1.27081275,0.803093255,2.496081114,2020,0.063886963
47,6.123700142,Romania,Central and Eastern Europe,6.216668129,6.030732155,0.842823207,-0.19781521,0.934300244,1.120401621,1.1944381,0.79229486,2.412749767,2020,0.047432564
48,6.102099895,Kuwait,Middle East and North Africa,6.206563473,5.997636318,0.872366488,-0.100184701,0.760849059,1.424833655,1.244779825,0.776468933,1.840167999,2020,0.053297732
49,6.101299763,Mauritius,Sub-Saharan Africa,6.213463783,5.989135742,0.889534533,-0.018318573,0.805343091,1.07366395,1.395666838,0.763389409,2.006720543,2020,0.057226494
50,6.057899952,Kazakhstan,Commonwealth of Independent States,6.1426301,5.973169804,0.811601937,-0.068488635,0.764490843,1.122594237,1.453267694,0.698788941,2.021602631,2020,0.043229785
51,6.021800041,Estonia,Central and Eastern Europe,6.092330933,5.95126915,0.87770915,-0.111697771,0.623073816,1.192441225,1.453232527,0.842615008,1.629928112,2020,0.035985194
52,6.006000042,Philippines,Southeast Asia,6.103722572,5.908277512,0.915463448,-0.105463006,0.733634114,0.775120676,1.245381713,0.602189481,2.501741886,2020,0.049858402
53,6.000400066,Hungary,Central and Eastern Europe,6.077767372,5.923032761,0.718964577,-0.194323018,0.892916501,1.164307117,1.423009396,0.806793869,2.121845722,2020,0.039473221
54,5.998799801,Thailand,Southeast Asia,6.082288742,5.91531086,0.905063033,0.268685192,0.886272311,1.007029295,1.347519517,0.793855846,1.832384109,2020,0.042596295
55,5.974699974,Argentina,Latin America and Caribbean,6.079445839,5.869954109,0.831132412,-0.194913864,0.842009842,1.028465629,1.372543693,0.849773705,2.072540998,2020,0.053441759
56,5.953199863,Honduras,Latin America and Caribbean,6.082033634,5.824366093,0.870603263,0.086969115,0.801131904,0.598763585,1.186664104,0.791989982,2.464295387,2020,0.065731592
57,5.949999809,Latvia,Central and Eastern Europe,6.018282413,5.881717205,0.671237648,-0.186888844,0.795580089,1.14139545,1.414398789,0.777902424,2.121283054,2020,0.034838136
58,5.925199986,Ecuador,Latin America and Caribbean,6.028846264,5.821553707,0.859828949,-0.127014965,0.801215112,0.853383601,1.221027613,0.838837743,2.254933834,2020,0.052880634
59,5.910900116,Portugal,Western Europe,6.015089989,5.806710243,0.888747811,-0.220714301,0.892629504,1.168800831,1.339530349,0.979315281,1.752558708,2020,0.053158198
60,5.889800072,Jamaica,Latin America and Caribbean,6.126157284,5.65344286,0.858068526,-0.125106767,0.888890028,0.779058397,1.408289194,0.788434088,2.214436531,2020,0.120590433
61,5.872399807,South Korea,East Asia,5.958806515,5.785993099,0.612965107,-0.043404032,0.789067447,1.245300651,1.133560538,1.022542596,1.946757078,2020,0.044085015
62,5.870800018,Japan,East Asia,5.951927662,5.789672375,0.809961379,-0.246910349,0.654558063,1.26672411,1.332338691,1.072881341,1.486200333,2020,0.041391667
63,5.796800137,Peru,Latin America and Caribbean,5.916970253,5.67663002,0.824766099,-0.16238822,0.893714964,0.91854918,1.208405972,0.824444175,2.213499546,2020,0.061311204
64,5.77820015,Serbia,Central and Eastern Europe,5.877596378,5.678803921,0.726495862,-0.073676221,0.843509018,0.988181829,1.327448964,0.828403294,2.029040098,2020,0.050712325
65,5.747499943,Bolivia,Latin America and Caribbean,5.846765041,5.648234844,0.875873327,-0.09168113,0.822606206,0.730976343,1.142350554,0.662445664,2.425928593,2020,0.050645422
66,5.69329977,Pakistan,South Asia,5.78780365,5.598795891,0.734833717,0.04489987,0.745705426,0.616799474,0.872979581,0.469933242,2.976876736,2020,0.048216224
67,5.692100048,Paraguay,Latin America and Caribbean,5.793937683,5.590262413,0.885923445,0.007997713,0.834788501,0.897990823,1.36819756,0.735869646,1.83412528,2020,0.051957864
68,5.689199924,Dominican Republic,Latin America and Caribbean,5.826069355,5.552330494,0.866202772,-0.131263286,0.755999923,0.983191848,1.328888893,0.741901696,1.844246864,2020,0.069831297
69,5.674099922,Bosnia and Herzegovina,Central and Eastern Europe,5.765016556,5.583183289,0.651352704,0.098274559,0.933769107,0.91839546,1.203986526,0.813928187,2.16724205,2020,0.046385963
70,5.607500076,Moldova,Commonwealth of Independent States,5.690360069,5.524640083,0.721609175,-0.037741039,0.913314283,0.707916796,1.237312198,0.713299453,2.370968342,2020,0.042275578
71,5.555699825,Tajikistan,Commonwealth of Independent States,5.619050026,5.492349625,0.831383407,-0.025088511,0.592076063,0.474874616,1.218377709,0.680594802,2.25650835,2020,0.032321576
72,5.54610014,Montenegro,Central and Eastern Europe,5.642112255,5.450088024,0.649565637,-0.075600356,0.783121586,1.010150075,1.265657902,0.839028895,1.880565882,2020,0.04898582
73,5.546000004,Russia,Commonwealth of Independent States,5.623634815,5.468365192,0.729892612,-0.151153743,0.864802599,1.126999617,1.378644109,0.68044591,1.815716743,2020,0.039609671
74,5.541500092,Kyrgyzstan,Commonwealth of Independent States,5.627108097,5.455892086,0.909374893,0.154772058,0.888396084,0.513180971,1.341036677,0.680645883,2.060206652,2020,0.043677468
75,5.539899826,Belarus,Commonwealth of Independent States,5.612537384,5.467262268,0.639163077,-0.164926544,0.63571167,1.018854499,1.38713932,0.75258857,1.8069911,2020,0.037060037
76,5.53550005,North Cyprus,Western Europe,5.635532856,5.435467243,0.79529351,0.000227159,0.62611568,1.21279943,1.183089137,1.026124597,1.23668766,2020,0.051037241
77,5.514999866,Greece,Western Europe,5.606986046,5.423013687,0.541345119,-0.300907373,0.859931409,1.128070116,1.168973565,0.979431748,2.016179085,2020,0.046931833
78,5.510399818,Hong Kong S.A.R. of China,East Asia,5.600596905,5.420202732,0.779833794,0.134979904,0.420607209,1.376746058,1.243584275,1.136630654,0.673293114,2020,0.046019029
79,5.504700184,Croatia,Central and Eastern Europe,5.578756332,5.430644035,0.714838803,-0.128538325,0.916495264,1.109024286,1.311264873,0.900575578,1.676029205,2020,0.037783645
80,5.488800049,Libya,Middle East and North Africa,5.607727528,5.36987257,0.773157001,-0.085054487,0.668779135,1.021913767,1.196283698,0.615626633,1.888563156,2020,0.060677204
81,5.456200123,Mongolia,East Asia,5.535213947,5.377186298,0.693351328,0.098093867,0.863511205,0.904872775,1.458930612,0.615788162,1.810527563,2020,0.040313236
82,5.384300232,Malaysia,Southeast Asia,5.479953289,5.288647175,0.894626856,0.114726797,0.839302301,1.168421626,1.17400229,0.788511872,1.319420815,2020,0.048802696
83,5.353499889,Vietnam,Southeast Asia,5.41974926,5.287250519,0.939592957,-0.094533332,0.79642123,0.718092382,1.253074765,0.819133997,1.685977936,2020,0.033800762
84,5.285600185,Indonesia,Southeast Asia,5.379077435,5.192122936,0.870614409,0.519586504,0.876296401,0.891720712,1.154800892,0.610437036,1.479573488,2020,0.047692381
85,5.233300209,Ivory Coast,Sub-Saharan Africa,5.376567364,5.090033054,0.727909327,-0.043991156,0.790771961,0.537094414,0.799727261,0.154942513,3.081022501,2020,0.073095515
86,5.21600008,Benin,Sub-Saharan Africa,5.368408203,5.063591957,0.735182583,-0.003537213,0.740532577,0.366244704,0.352428436,0.328062952,3.440809727,2020,0.077759244
87,5.197599888,Maldives,South Asia,5.338691235,5.056508541,0.853962779,0.038085498,0.824211061,0.937864304,1.402287602,0.914439559,1.098674774,2020,0.071985401
88,5.194399834,Congo (Brazzaville),Sub-Saharan Africa,5.345376492,5.043423176,0.719058514,-0.123674095,0.751779079,0.633616745,0.757636011,0.458101124,2.722619534,2020,0.077028967
89,5.164800167,Azerbaijan,Commonwealth of Independent States,5.231826782,5.097773552,0.786824107,-0.240255281,0.55253756,0.990272701,1.180613041,0.731134057,1.507632971,2020,0.034197241
90,5.159800053,Macedonia,Central and Eastern Europe,5.251452446,5.068147659,0.738840938,-0.019877451,0.897490501,0.935371995,1.183173537,0.802994132,1.617594957,2020,0.046761535
91,5.147999763,Ghana,Sub-Saharan Africa,5.262923717,5.033075809,0.794796526,0.094170853,0.847964764,0.575862467,0.96636796,0.432162255,2.378437281,2020,0.058634609
92,5.137199879,Nepal,South Asia,5.250276566,5.024123192,0.797565043,0.154168829,0.738099158,0.444050372,1.100789309,0.66887939,2.014386892,2020,0.057692084
93,5.131800175,Turkey,Middle East and North Africa,5.20988369,5.05371666,0.608830452,-0.171046436,0.748197377,1.127169251,1.197159171,0.781335294,1.564816713,2020,0.039838459
94,5.123899937,China,East Asia,5.174667358,5.073132515,0.898517907,-0.18142575,0.7539711,0.990533412,1.132080674,0.867248535,1.336181879,2020,0.025901664
95,5.119100094,Turkmenistan,Commonwealth of Independent States,5.17668438,5.061515808,0.826457024,0.187671542,0.883691847,1.008963585,1.510476947,0.612448037,1.115337372,2020,0.029379817
96,5.101500034,Bulgaria,Central and Eastern Europe,5.188173294,5.014826775,0.745178163,-0.143908441,0.935585141,1.046554685,1.460578918,0.777776897,1.294961452,2020,0.04422117
97,5.094799995,Morocco,Middle East and North Africa,5.203875065,4.985724926,0.772072434,-0.240377247,0.815724611,0.75862211,0.645208478,0.745096922,2.378402472,2020,0.05565045
98,5.084899902,Cameroon,Sub-Saharan Africa,5.216800213,4.952999592,0.763051808,-0.00149645,0.851336598,0.503958046,0.89972645,0.270189553,2.719370842,2020,0.067296073
99,5.053199768,Venezuela,Latin America and Caribbean,5.179189682,4.927209854,0.62327832,-0.169090509,0.837038398,0.770238638,1.348546863,0.76702553,1.74484086,2020,0.06428051
100,5.005099773,Algeria,Middle East and North Africa,5.09180212,4.918397427,0.466610909,-0.121105164,0.735485137,0.943856001,1.143003583,0.745418549,1.840811729,2020,0.044236008
101,4.980800152,Senegal,Sub-Saharan Africa,5.084227562,4.877372742,0.690596163,-0.052335154,0.808785141,0.504061818,0.95459342,0.518391907,2.405123949,2020,0.05276908
102,4.949299812,Guinea,Sub-Saharan Africa,5.09246254,4.806137085,0.706846774,0.076328471,0.761794448,0.390007734,0.75136596,0.333655238,2.740729809,2020,0.073042229
103,4.909599781,Niger,Sub-Saharan Africa,5.060927868,4.758271694,0.759772122,0.013860817,0.722530186,0.108330332,0.703800142,0.298816353,3.017630577,2020,0.077208281
104,4.888599873,Laos,Southeast Asia,4.967526436,4.809673309,0.907213569,0.11137148,0.634679317,0.714693844,0.987391889,0.486378282,1.621152639,2020,0.040268615
105,4.882699966,Albania,Central and Eastern Europe,4.992686749,4.772713184,0.781994224,-0.042309489,0.896303713,0.906653047,0.830483913,0.846329629,1.640897036,2020,0.056115732
106,4.848400116,Cambodia,Southeast Asia,4.962093353,4.734706879,0.959704638,0.051911179,0.822769046,0.544634938,1.071426034,0.587904334,1.663300037,2020,0.058006871
107,4.832799911,Bangladesh,South Asia,4.911443233,4.75415659,0.90062499,-0.033664726,0.661843538,0.556156278,0.868800581,0.694940507,1.755261898,2020,0.040124193
108,4.829299927,Gabon,Sub-Saharan Africa,4.947425842,4.711174011,0.704829216,-0.222261623,0.849150956,0.988044381,1.10639751,0.522574842,1.735027552,2020,0.060268242
109,4.814099789,South Africa,Sub-Saharan Africa,4.931746006,4.696453571,0.759330094,-0.109777324,0.843423843,0.902140439,1.259086251,0.407034069,1.625117302,2020,0.060023591
110,4.784800053,Iraq,Middle East and North Africa,4.937272072,4.632328033,0.633182645,-0.06956476,0.82226181,0.982018709,1.011466622,0.529350698,1.752173662,2020,0.077791877
111,4.771500111,Lebanon,Middle East and North Africa,4.857257843,4.685742378,0.551357508,-0.06121527,0.90225625,0.889232516,1.19249332,0.788671136,1.53554225,2020,0.043753985
112,4.768700123,Burkina Faso,Sub-Saharan Africa,4.890351772,4.647048473,0.665563583,-0.019080516,0.739795029,0.302467644,0.9293859,0.312833875,2.588826418,2020,0.062067267
113,4.750599861,Gambia,Sub-Saharan Africa,4.882240772,4.61895895,0.733163178,0.343198717,0.690717816,0.256990552,0.882678688,0.353247881,2.270216465,2020,0.067163654
114,4.729300022,Mali,Sub-Saharan Africa,4.855451107,4.603148937,0.71156615,-0.044366926,0.839328408,0.352462649,0.97314173,0.234981522,2.559335232,2020,0.064362764
115,4.724100113,Nigeria,Sub-Saharan Africa,4.826248169,4.621952057,0.759578407,0.033745807,0.861874342,0.645901859,0.986717939,0.167835936,2.219635487,2020,0.05211626
116,4.676799774,Armenia,Commonwealth of Independent States,4.791646481,4.561953068,0.712017834,-0.13877961,0.773544788,0.808262408,1.034576893,0.77585727,1.468161583,2020,0.058595356
117,4.672599792,Georgia,Commonwealth of Independent States,4.757698059,4.587501526,0.801641524,-0.22892037,0.665944695,0.847198069,0.7311939,0.694657624,1.69239831,2020,0.043417413
118,4.672399998,Iran,Middle East and North Africa,4.78192091,4.562879086,0.647873282,0.117891103,0.714635968,1.029322505,0.886271179,0.749053836,1.286969423,2020,0.055878021
119,4.633399963,Jordan,Middle East and North Africa,4.748552322,4.518247604,0.75104779,-0.162565202,0.700344324,0.785179198,1.140118599,0.777624726,1.262258053,2020,0.058751218
120,4.623600006,Mozambique,Sub-Saharan Africa,4.778996944,4.468203068,0.864451885,0.032375868,0.683019102,0.178741366,0.955202878,0.324223638,2.221216202,2020,0.079284087
121,4.583000183,Kenya,Sub-Saharan Africa,4.715898037,4.450102329,0.829747558,0.294681519,0.831499159,0.476413399,0.905077755,0.536312759,1.684904575,2020,0.067804985
122,4.571100235,Namibia,Sub-Saharan Africa,4.690628052,4.451572418,0.767520964,-0.18530646,0.851449788,0.84008199,1.245738149,0.40687117,1.503033161,2020,0.060983475
123,4.56069994,Ukraine,Commonwealth of Independent States,4.658080578,4.463319302,0.663081884,-0.030933706,0.920636714,0.780434608,1.321316481,0.698674381,1.252669334,2020,0.049683895
124,4.557899952,Liberia,Sub-Saharan Africa,4.71853447,4.397265434,0.735268712,0.04227322,0.856375933,0.174103007,0.920733929,0.392284274,2.386757851,2020,0.081956357
125,4.552800179,Palestinian Territories,Middle East and North Africa,4.662314892,4.443285465,0.645791829,-0.162079096,0.824199975,0.587819219,1.194755554,0.613826573,1.693985701,2020,0.055874817
126,4.43200016,Uganda,Sub-Saharan Africa,4.566251278,4.297749043,0.731713951,0.099487431,0.836737812,0.312337428,1.052327394,0.378311664,1.958671093,2020,0.068495452
127,4.422699928,Chad,Sub-Saharan Africa,4.570153236,4.27524662,0.587305248,0.017834719,0.802760839,0.302287489,0.739118278,0.1087441,2.74742651,2020,0.075231321
128,4.392199993,Tunisia,Middle East and North Africa,4.489554405,4.294845581,0.593361557,-0.216413811,0.867590249,0.874742687,0.872167706,0.781156719,1.528496742,2020,0.049670532
129,4.374599934,Mauritania,Sub-Saharan Africa,4.482583046,4.266616821,0.551522553,-0.106008142,0.746223509,0.539684892,1.113323569,0.425184816,1.85955739,2020,0.055093341
130,4.327000141,Sri Lanka,South Asia,4.431047916,4.222952366,0.837633669,0.081129618,0.859001756,0.897986948,1.19494009,0.792036712,0.611288548,2020,0.053085525
131,4.31099987,Congo (Kinshasa),Sub-Saharan Africa,4.524636269,4.097363472,0.700793564,0.083637655,0.809403598,0.062487468,0.833055019,0.277212054,2.437864304,2020,0.108998232
132,4.308100224,Swaziland,Sub-Saharan Africa,4.448145866,4.168054581,0.646822274,-0.19920142,0.708263338,0.827539742,1.064835191,0.215585828,1.686207294,2020,0.07145194
133,4.308000088,Myanmar,Southeast Asia,4.392180443,4.223819733,0.895075202,0.560663998,0.645124316,0.67809093,1.098178267,0.495443076,0.681462526,2020,0.042949215
134,4.288599968,Comoros,Sub-Saharan Africa,4.453906536,4.1232934,0.547612607,0.090008408,0.780622602,0.415620774,0.723232806,0.437383324,2.17276907,2020,0.084340192
135,4.187200069,Togo,Sub-Saharan Africa,4.309713364,4.064686775,0.649828613,0.002667875,0.757733464,0.268116266,0.547622859,0.342731178,2.409595251,2020,0.062506773
136,4.186200142,Ethiopia,Sub-Saharan Africa,4.262473583,4.109926701,0.740795195,0.043377332,0.753690004,0.315125644,1.001103282,0.483846247,1.628459215,2020,0.038915094
137,4.165599823,Madagascar,Sub-Saharan Africa,4.278382301,4.052817345,0.557574093,-0.011823639,0.817485631,0.244553208,0.823694348,0.500617027,2.136298418,2020,0.057542104
138,4.151400089,Egypt,Middle East and North Africa,4.221919537,4.080880642,0.708354175,-0.196878314,0.787726879,0.875228941,0.982539535,0.596911311,1.158818245,2020,0.035979424
139,3.926399946,Sierra Leone,Sub-Saharan Africa,4.046255589,3.806544304,0.715315044,0.088660747,0.861330688,0.240560383,0.747984946,0.203953966,2.046271801,2020,0.061150789
140,3.775300026,Burundi,Sub-Saharan Africa,3.98526001,3.565340042,0.626350224,-0.017551597,0.606934547,0,0.403575271,0.295212835,2.401507378,2020,0.107122384
141,3.759399891,Zambia,Sub-Saharan Africa,3.878326178,3.640473604,0.806500256,0.078037128,0.801289678,0.536833763,0.896037281,0.36359334,1.134339333,2020,0.06067669
142,3.720799923,Haiti,Latin America and Caribbean,3.919667482,3.521932364,0.537825167,0.40053457,0.684767246,0.284734428,0.646671355,0.37436673,1.619916916,2020,0.101463005
143,3.652800083,Lesotho,Sub-Saharan Africa,3.813757181,3.491842985,0.738125861,-0.145732045,0.857392073,0.45493874,1.088940024,0.100934811,1.445513964,2020,0.082120985
144,3.573299885,India,South Asia,3.627596378,3.519003391,0.881444871,0.057551607,0.772042692,0.730576158,0.644198656,0.54057014,0.734130859,2020,0.027702235
145,3.538000107,Malawi,Sub-Saharan Africa,3.675710678,3.400289536,0.803223193,0.021433279,0.731700778,0.176534727,0.53036809,0.446163297,1.552718282,2020,0.070260517
146,3.527400017,Yemen,Middle East and North Africa,3.633549929,3.421250105,0.599920273,-0.157735437,0.800287724,0.392701775,1.177477121,0.41500017,1.116472721,2020,0.054158084
147,3.478899956,Botswana,Sub-Saharan Africa,3.597563744,3.360236168,0.821328104,-0.250394493,0.777930915,0.997548997,1.08569479,0.494101733,0.257240534,2020,0.060542691
148,3.476200104,Tanzania,Sub-Saharan Africa,3.600091219,3.352308989,0.82153976,0.109668687,0.619799435,0.457163125,0.872674644,0.442677855,0.718963385,2020,0.06320975
149,3.475899935,Central African Republic,Sub-Saharan Africa,3.701658487,3.250141382,0.640880644,0.082410358,0.891806662,0.041072082,0,0,2.860197544,2020,0.115182951
150,3.312299967,Rwanda,Sub-Saharan Africa,3.415053368,3.209546566,0.900589406,0.055483952,0.183541179,0.343242675,0.522876322,0.572383285,0.548444986,2020,0.052425209
151,3.299200058,Zimbabwe,Sub-Saharan Africa,3.414201975,3.184198141,0.711457908,-0.072063953,0.81023699,0.425564021,1.047835231,0.375037611,0.841031075,2020,0.058674462
152,2.816600084,South Sudan,Sub-Saharan Africa,3.027516365,2.605683804,0.451313615,0.016518548,0.763417304,0.289082974,0.553278506,0.208809033,1.378751278,2020,0.107610404
153,2.566900015,Afghanistan,South Asia,2.628270388,2.505529642,0.396573007,-0.0964294,0.933686554,0.30070585,0.356433839,0.266051531,1.507235646,2020,0.031311426
